Number;Sol_XRD;Abreviation;SiO2_XRD;FeO_XRD;Al2O3_XRD;SO3_XRD;CaO_XRD;MgO_XRD;Na2O_XRD;Amorphous_XRD;Pyroxene_XRD;Sulfate_XRD;Magnetite_XRD;Hematite_XRD;Feldspar_XRD;Plagioclase_XRD;Clay_XRD
9;89;RN;42.97;19.18;9.37;5.47;7.26;8.69;2.7;35;33;1;1.8;0.9;0;26.3;0
46;230;JK;41.06;20.68;8.51;5.91;7.87;8.97;2.93;28;17;3.5;4.5;0.5;2;22;22
87;487;CB;41.13;21.95;8.63;4.61;6.66;9.32;3.01;31;17.34;1.53;5.61;0.51;2.55;21.93;18
136;704;WJ;37.38;27.9;5.62;3.57;5.26;12.29;0.96;15;36.75;1.5;12;1.5;19.5;4.5;10
155;781;CH;48.13;19.83;9.73;4.86;4.58;5.55;2.65;39;14.84;1.06;3.18;6.89;4.77;20.14;8
196;894;MJ;49.48;16.11;11.43;6.27;4.33;4.55;3.01;53;7.14;1.68;2.94;2.94;0;23.1;5
214;954;TP;52.7;18.68;10.74;2.54;4.37;2.93;3.34;27;9.3;1.86;8.06;1.24;4.96;27.28;0
235;1092;BK;73.65;5.49;5.66;4.8;3.05;0.82;2.08;54;0;0.8;2.8;0;3.2;17.2;0
250;1132;BS;42.95;21.55;11.52;3.35;6.12;7.49;3.08;20;25.4;2.3;10.3;3;1.1;36.5;0
271;1226;GB;47.88;17.91;9.78;3.36;7.3;7.57;2.75;35;37.7;0.8;1.4;0.6;0;23.7;0
268;1202;GH;53.24;15.25;3.92;11.92;7.8;1.81;2.43;65;4.3;7;6.1;2.1;0;14.7;0
313;1326;LB;59.75;8.22;3.09;13.69;8.22;1.55;1.92;73;4.4;6.3;3;0.6;0;11.7;0
331;1359;OK;45.1;22.39;9.64;0.96;6.36;8.97;3.08;35;20.7;2.3;11.2;0.7;1.9;27.2;0
334;1368;OU;51.82;18.74;9.4;4.36;4.55;4.9;2.59;44;3.68;5.52;0;11.96;0;23.92;3
353;1426;MB;45.99;22.53;8.49;6.78;5.27;4.58;2.11;40;0.64;7.36;0;6.4;2.56;14.08;28
360;1466;QL;44.81;18.93;8.48;9.3;7.48;4.1;2.19;52;2.24;5.12;0;7.36;2.24;14.08;16
374;1496;SB;46.17;18.3;8.68;9.13;7.13;4.25;2.01;51;2.1;7.5;0;7.2;1.2;11.4;19
599;1969;OB;47.47;17.37;10.44;3.4;7.14;7.55;2.85;40;23.2;1.2;1.3;1.2;0;24.7;7.4
656;2080;DU;42.9;22.12;7.81;9.86;7.52;2.66;2.24;37;4.8;4.8;0.96;6.24;3.36;26.88;15
682;2154;ST;44.08;21.53;8.75;7.59;6.44;4.72;2.45;38;3.12;5.72;0.52;14.56;1.56;23.4;10
698;2245;HF;51.58;17.31;9.64;5.63;4.84;4.29;2.57;49;4.2;6.72;0.42;8.4;1.26;19.74;5
706;2291;RH;37.37;20;7.33;15.28;8.64;3.97;2.13;34;9.01;12.72;0;2.65;0;20.14;13
749;2379;AL;41.55;20.59;8.24;9.89;7.03;5.84;2.21;41;4.6;11.6;0;1.7;1.2;10.8;28
753;2382;KM;46.83;19.59;8.51;5.68;4.17;7.35;2.3;48;3.2;9.4;0;0.9;0;7.8;28
814;2523;GE;43.87;23.46;8.41;6.37;5.03;5.74;2.18;38;1.6;10.4;0;2;1.4;11.4;34
820;2552;GE2;38.64;20.16;7.3;13.17;9.66;4.63;1.81;37;4.2;5;0;1.5;2.4;23.5;26
885;2684;HU;46.64;19.94;9.29;3.71;5.88;6.29;3.39;37.5;7.191;0.612;6.324;2.448;2.397;25.347;6.3
904;2728;EB;41.54;22.71;9.25;3.18;6.14;9.09;3.55;20;20.148;0;10.22;0.365;3.358;28.908;7
915;2775;GG;46.87;18.82;8.74;7.48;6.11;4.74;2.23;47;1.682;6.293;0;3.886;1.073;14.616;24
931;2851;MA;42.85;19.77;8.05;9.6;6.32;6.55;2.16;27;5.22;1.755;0;1.125;2.835;31.725;28
943;2890;MA3;38.96;18.22;7.83;12.06;7.77;7.59;2.21;25;6.255;4.23;0;0.855;2.835;28.665;30
945;2906;GR;43.56;16.43;8.49;8.76;4.09;8;2.43;26;4.356;8.448;0;0;2.112;25.08;30
1019;3068;NT;47.36;19.59;9.03;6.14;4.35;6.27;2.47;40.575;3.50833333333333;7.34444444444444;0;7.025;1.51666666666667;20.8944444444444;18.1194444444445
1037;3108;BD;46.22;20.42;8.97;7.39;5.45;4.28;2.42;47.7817747682161;3.4287392147108;4.34130142587388;0;8.44812695154134;1.71109482121022;21.1010434811315;12.0947758593619
1074;3178;PT;42.24;22.17;7.75;9.53;5.12;5.33;2.31;51.0553388397453;7.58848893038416;3.833356151735;0;4.207574953075;2.61533939443442;26.8566289188984;2.96418729916195
;3246;MG;42.48;20.66;7.82;10.47;7;4.45;2.17;41.8694444444444;4.73611111111111;7.45833333333333;0;9.25277777777778;1.46944444444444;30.3972222222222;2.98888888888889
;3287;ZS;46.66;18.83;8.47;7.98;6.17;4.18;2.63;32.3805555555556;9.14166666666667;26.9777777777778;0;6.69444444444445;0;23.8777777777778;0
